'menu_home'; 'Home'
'menu_about'; 'About Us'
'menu_who'; 'Who we are'
'menu_service'; 'Service'
'menu_projects'; 'Projects'
'menu_our_team'; 'Our team'
'menu_contacts'; 'Contacts'
'intro_btn_more_details'; 'More details'
'main_subtitle'; 'RBMK INVEST S.R.O. Is Czech investment company formed in 2018 in Praha.'
'about_title'; 'About US'
'about_p1'; 'RBMK INVEST S.R.O. Is Czech investment company formed in 2018 in Praha. Company main goal-is accumulate the expertise of investment in new projects such as:'
'about_li1_span'; 'Development'
'about_li2_span'; 'Trade'
'about_li3_span'; 'IT services'
'about_li4_span'; 'Financial services'
'about_p2'; 'The geography of the company activities is presented in such countries as: Czech Republic, Germany, Switzerland, Russia, China, Kazakhstan, Kyrgyzstan, Cyprus, Kenya.'
'features_title'; 'Who we are'
'features_p1'; 'Entrepreneurial. Passionate Exclusive. These are the qualities that can be used to describe the community of successful entrepreneurs and private individuals who have joined together under the RMBK investment management.'
'features_p2'; 'The shareholders ’shared objective is to invest their own private funds directly as equity in medium-sized companies. RBMK INVEST therefore sees itself as an expert contact in all matters pertaining to our central topics of entrepreneurship, growth and finance - always on an equal footing with the target companies and the people acting on their behalf.'
'features_p3'; 'While we look after our investor network in the Czech, the Swiss and the Germany companies, structure and manage exclusive direct investments in selected growth companies and are also responsible for acquiring and looking after investors.'
'call-to-action_title'; 'Contact us'
'call-to-action_p1'; 'Lorem ipsum dolor sit amet consectetur adipisicing elit. Asperiores non odit natus perferendis officia autem porro ratione, aut, harum nihil officiis eveniet tempore labore doloremque? Totam est sint nihil assumenda.'
'call-to-action_title_btn'; 'Request a cal'
'portfolio_title'; 'Our private equity investmens'
'portfolio_p1'; 'The company investment portfolio contains all the necessary trends for doing business more diversified and stable. We are invested globally in funds, secondaries and directly in private equity.'
'portfolio_all'; 'All'
'portfolio_app'; 'Development'
'portfolio_card'; 'Trade'
'portfolio_web'; 'IT services'
'portfolio_fin'; 'Financial services'
'team_title'; 'Our Team'
'team_p1'; 'We have professional team that consist form more then 7th experts in investments, finances, management and development with experience in BIG 4 of consulting companies.'
'place_map_title'; 'How to find us'
'contacts_title'; 'Contacts'
'footer_subscription_title'; 'Subscription'
'footer_contacts_title'; 'Contacts'
'footer_contacts_addres'; 'Djufanova 1096/8, Řepy, 163 00 Praha 6'